id,category_id,variant_id,speaker_id,speaker_sex,variant_type,word,vector
A_002_01,2,1,1,F,low,baby,-239.48761407252744 -292.7653983574421 -358.2420772734188 -421.26878372350706 135.66432022752878 128.37471754476712 115.6269296113846 82.6145429297727 -67.64399520729452 -50.33330654512716 -24.772633736990105 9.02744504184517 32.68269395344214 37.198040171260494 53.81028680180965 80.90775813319988 6.436310495837365 38.43195188419491 57.46584171220121 55.868280470976785 -5.903660720148702 -7.96931351548715 -6.8744782153442285 -9.459577636170842 -37.14336670235664 -50.3137746923352 -38.46405087275964 -30.050615510598824
A_002_02,2,2,1,F,low,baby,-263.4950480911042 -282.19988397790314 -339.2104243208149 -381.80353825021956 150.55937565408183 147.4264935593203 137.83362736330938 95.37173965185438 -25.611420686070222 -32.249678921045174 -10.436613317493894 -0.9204461881179522 45.29633193020859 51.128828338804425 71.75800086509491 100.19010339755283 19.520982492152747 41.51968164653278 61.722822774785975 58.19513194720638 19.34621452951515 5.777179492364395 1.4445078109690352 -8.541468838170479 -46.718323643583275 -61.96589772670878 -47.37629597703082 -44.88447406671181
A_002_03,2,3,1,F,low,baby,-246.5124683356516 -260.38671300287814 -346.5691858716594 -422.8456320707646 160.54557196884053 145.59219653640903 142.446785138272 104.29545832440064 -44.185609681587366 -55.383364858451955 -20.327167537897374 7.59147746877879 49.88383060691949 64.89655585461531 77.07544323730181 99.19210797532338 1.4095444311507077 27.905624353005514 60.25236013245129 63.21057601844382 13.966999173662124 3.5369342553258605 0.19335893000230897 -5.106635322498562 -31.9407549424404 -48.1872219443638 -32.72443362640455 -23.495246851895658
A_002_04,2,4,1,F,low,baby,-239.11909189601758 -298.68674587244675 -353.5456342831086 -444.00381544750576 151.46150612869076 152.67170026602616 133.38064388558624 106.6351670481907 -66.42683836751638 -54.82823293348577 -22.24667711326311 15.264886978925055 51.537530173090545 54.32578966407026 77.12369894818379 94.74891328025303 12.301453323812915 43.63489739625151 57.69141708935225 72.07442467185768 6.334805643273771 -7.710220571237292 13.68820126259608 5.957153977634814 -46.285781724776854 -50.37328871632995 -25.007675824331407 -25.255880623239086
A_002_05,2,5,1,F,low,baby,-276.5254754939988 -294.45235078896667 -395.4007691376799 -447.85398104418215 158.62377542234003 166.69214611900725 150.29552644211907 108.09777475373792 -47.69903452026897 -41.098378012781126 7.067602635957323 21.217304694390183 32.11177213394764 27.638148643336155 48.949166373198835 91.76038994682213 9.223191913957793 37.20231188543157 68.97602339736994 86.732539471736 5.386029131725964 0.04599710760918718 6.0679415834666415 4.382529755685278 -34.399409674325184 -57.406361532033735 -40.06271596097109 -27.007453015811954
A_002_06,2,6,1,F,low,baby,-234.81858533100993 -285.09978906672546 -383.5628212741601 -448.70127368702293 168.10497799448814 162.57996664666277 159.12949403685974 103.0628646121354 -60.7549080607765 -50.8301438517975 -7.3379114020381 16.129684204012136 36.84835867877746 42.15384866781564 39.13478682385134 82.35466628672009 22.620514553388507 46.59006537251585 62.237200150793555 68.30956968504422 4.661178020388735 5.60212694046751 10.641865643027824 11.817731288735757 -50.44474951087414 -52.68523697785847 -24.010154150380494 -16.581710691103005
A_002_07,2,7,1,F,low,baby,-277.70108713365227 -334.5741511915219 -408.0045280824702 -456.3026934395705 165.78118318641145 162.645739132147 143.31935330449926 97.03576216499701 -44.328439662482126 -20.61375721630628 15.522580623925538 21.082021503985864 33.90448981332649 43.65008343280914 68.17074909963006 85.9599967842063 32.92386577196923 57.9696340438975 80.34268685335968 79.7206694148312 9.965996934864322 0.8264863687035398 8.289702881872605 10.576353837995251 -45.02611115274053 -49.748883884382366 -40.18823631583162 -33.68576559686652
A_002_08,2,8,1,F,low,baby,-255.95986531333355 -315.68415320623006 -386.7334113114201 -463.2424208687793 165.21927927761897 162.46579217253012 141.5658734248418 105.3884512751417 -51.34254546787462 -27.772166054014882 3.4186598010036606 26.03198119085861 33.416062140759735 38.90044890264254 50.58828078003023 57.56255272524312 34.50866098116898 64.58906686454826 68.9348544713803 71.99578680660119 17.224995748477493 12.770912271083972 32.92762112863897 38.872147232647634 -48.17209922467268 -57.53489207320891 -28.610112850360522 -18.00073284364801
A_002_09,2,9,1,F,low,baby,-249.9599761088813 -340.5319852809862 -429.6896794642495 -472.28885962166504 145.0194573349058 148.87348223770397 139.79171125507528 98.05091515263624 -61.32454756079546 -32.312560753307686 3.7276317024903847 11.331628407019126 59.708278705861645 56.11523678673357 48.95318234501076 75.97266325615062 31.486239562938245 67.94002708761336 80.14276425157061 83.62070664258415 14.547695255092043 12.947932254452505 24.000957774707217 20.603017884695014 -48.47176288358092 -39.28756358627668 -27.69717516037015 -26.44298721018046
A_002_10,2,10,1,F,low,baby,-267.5952336014368 -327.0811971655618 -429.9755858962795 -474.7099519336515 176.15486358385454 168.2506932243066 144.4285529222966 104.38542494247378 -37.666261871726064 -11.548550016494799 27.769295941788105 31.084716374266797 17.65915789852764 28.98004039870686 46.52197726618846 67.55996183292982 19.358611511772537 49.50235630487903 75.11727219874678 81.95305396206697 19.271558638343873 17.76042486281146 23.626511686145776 25.734424393286773 -46.620395869770654 -53.27008278015033 -39.24908524912831 -25.918013095431213
